--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Better
Avery Bradley\bradlav01,SG,30,27,6,602,5.1,13.7,2.6,8.1,2.5,5.6,1,1.2,0.6,3.9,3.7,1.7,0.2,2.2,4.4,13.8,,94,116,0
Axel Toupane\toupaax01,SF,28,8,1,61,3.1,8.5,0.8,1.5,2.3,6.9,3.8,5.4,0,4.6,3.1,1.5,2.3,0,4.6,10.8,,119,111,0
Bam Adebayo\adebaba01,C,23,64,64,2143,10.6,18.5,0,0.2,10.5,18.4,6.6,8.2,3.3,10,8,1.7,1.5,3.9,3.4,27.7,,122,108,1
Ben McLemore\mclembe01,SG,27,53,5,905,7.1,19.3,5.1,14.8,2,4.5,2.1,2.8,0.8,4.5,2.1,1.2,0.5,2.2,4.7,21.5,,99,115,0
Ben Simmons\simmobe01,PG,24,58,58,1877,8.4,15,0.1,0.3,8.3,14.7,4.5,7.4,2.4,8.3,10.3,2.4,0.9,4.4,4.4,21.3,,114,106,1
Bismack Biyombo\biyombi01,C,28,66,36,1349,5.1,8.8,0,0,5.1,8.7,1.7,3.8,5,7.6,2.9,0.6,2.7,2.6,5.1,12,,113,113,0
Blake Griffin\griffbl01,PF,31,46,30,1186,7.1,16.9,2.9,8.4,4.3,8.5,3.6,4.8,1.4,7.8,5.7,1.3,0.6,2.5,4.6,20.7,,110,114,0
Boban Marjanović\marjabo01,C,32,33,3,271,11.3,22.2,0.2,1.5,11.1,20.7,5.6,6.9,8.6,14.7,1.8,0.4,1.1,2.2,5.3,28.4,,121,111,0
Bobby Portis\portibo01,C,25,66,7,1372,10.7,20.5,2.5,5.4,8.2,15.1,1.8,2.5,4.2,11.7,2.4,1.8,0.9,1.9,3.9,25.8,,121,109,0
Bogdan Bogdanović\bogdabo01,SG,28,44,27,1305,10.1,21.3,5.5,12.6,4.6,8.7,1.5,1.7,0.8,5.3,5.5,1.8,0.5,2,3.7,27.1,,122,114,0
Bojan Bogdanović\bogdabo02,SF,31,72,72,2216,8.9,20.3,4,10.1,5,10.2,5.1,5.8,0.9,5.3,3,1,0.1,2.8,2.5,26.9,,113,112,0
Bol Bol\bolbo01,PF,21,32,2,160,7.7,17.9,2.8,7.4,4.9,10.5,3.1,4.6,0,7.4,2.2,0.9,3.1,4,4.3,21.3,,92,111,0
Brad Wanamaker\wanambr01,PG,31,61,0,1053,5.2,13.5,0.7,3.9,4.5,9.7,4.1,4.6,0.8,3.9,7.9,1.9,0.5,3.2,4.3,15.2,,102,113,0
Bradley Beal\bealbr01,SG,27,60,60,2147,14.4,29.7,2.8,8,11.6,21.7,8.8,9.9,1.5,4.5,5.7,1.5,0.5,4,3,40.3,,114,115,1
Brandon Clarke\clarkbr01,PF,24,59,16,1415,8.7,16.7,0.7,2.6,8,14.1,2.6,3.8,3.3,7.8,3.2,2,1.7,1.1,2.8,20.6,,119,109,0
Brandon Goodwin\goodwbr01,PG,25,47,5,620,6.7,17.7,2.5,8.2,4.1,9.5,2.2,3.4,0.6,4.8,7.5,1.3,0,2.9,3.3,18.1,,101,116,0
Brandon Ingram\ingrabr01,SF,23,61,61,2093,11.8,25.2,3.3,8.6,8.5,16.6,6.4,7.3,0.8,6.1,6.8,1,0.8,3.5,2.8,33.2,,115,116,1
Brian Bowen\bowenbr02,SF,22,6,0,15,3.2,12.6,0,3.2,3.2,9.5,3.2,3.2,0,9.5,0,0,0,0,3.2,9.5,,74,116,0
Brodric Thomas\thomabr01,SG,24,32,1,399,4.8,13.3,2,7.3,2.8,6,3.8,5.7,1,5.5,3.7,1.8,1.2,2.7,4.9,15.4,,96,114,0
Brook Lopez\lopezbr01,C,32,70,70,1902,8,15.8,2.3,6.9,5.6,8.9,3,3.5,2.6,6,1.2,1,2.5,1.6,3.7,21.2,,121,111,1
Bruce Brown\brownbr01,PG,24,65,37,1451,7.8,14.1,0.6,2,7.2,12.1,2.9,3.9,3.7,7.9,3.5,1.9,0.9,1.8,4.8,19,,124,112,0
Bruno Caboclo\cabocbr01,PF,25,6,0,36,10.5,22.3,0,6.6,10.5,15.8,1.3,2.6,3.9,14.5,1.3,0,2.6,5.3,7.9,22.3,,83,112,0
Bruno Fernando\fernabr01,C,22,33,0,226,3.9,9.6,0,0.4,3.9,9.1,3.3,4.8,3.5,13.5,2.2,0.9,0.7,4.6,5,11.1,,86,111,0
Bryn Forbes\forbebr01,SG,27,70,10,1354,8.7,18.3,5.3,11.8,3.3,6.5,1.6,2.1,0.4,3.5,1.6,0.8,0,1.5,2.7,24.3,,119,117,0
Buddy Hield\hieldbu01,SG,28,71,71,2433,8,19.6,5.6,14.2,2.4,5.3,1.7,2.1,0.6,6,5.1,1.2,0.6,2.6,3.5,23.2,,109,119,1
