--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Better
Derrick Favors\favorde01,C,29,68,0,1039,7.3,11.4,0,0.1,7.3,11.3,2.8,3.8,6.5,11.2,2.1,1.5,3.2,1.7,6.7,17.3,,138,103,0
Derrick Jones Jr.\jonesde02,SF,23,58,43,1318,5.4,11.3,1.6,5,3.8,6.2,2.2,3.4,2.8,4.7,1.7,1.4,2,1.2,4.7,14.7,,121,116,0
Derrick Rose\rosede01,PG,32,50,3,1279,11.2,23.8,1.9,5,9.2,18.8,4.3,4.9,0.8,4.3,8.1,1.9,0.7,3,2.2,28.6,,112,111,1
Derrick White\whitede01,SG,26,36,32,1064,8.5,20.7,3.8,11.1,4.7,9.6,4.4,5.2,0.6,4.3,5.8,1.2,1.6,2.1,4.2,25.2,,111,114,0
Desmond Bane\banede01,SG,22,68,17,1519,7.4,15.7,3.7,8.5,3.7,7.2,1.3,1.5,1,5.6,3.7,1.3,0.5,1.9,3.9,19.7,,115,114,0
Devin Booker\bookede01,SG,24,67,67,2270,13.5,28,2.7,8.1,10.8,19.9,7.4,8.5,0.7,5.4,6.3,1.2,0.3,4.5,3.9,37.2,,110,114,1
Devin Cannady\cannade01,PG,24,8,0,74,7.2,18.4,3.9,10.5,3.3,7.9,3.9,4.6,0,3.3,0.7,3.3,0.7,1.3,5.9,22.4,,105,113,0
Devin Vassell\vassede01,SF,20,62,7,1056,5.7,13.9,2.4,6.9,3.3,7,2,2.3,1.1,6.9,2.6,2,0.8,1,4,15.7,,108,112,0
Devon Dotson\dotsode01,PG,21,11,0,50,10.7,20.4,1,6.8,9.7,13.6,0,0,1.9,2.9,6.8,3.9,0,0,2.9,22.3,,126,110,0
Devontae Cacok\cacokde01,PF,24,20,1,98,8.4,14.4,0,0,8.4,14.4,2.5,5.5,6,9.9,0.5,2.5,2,2.5,4,19.4,,111,102,0
Devonte' Graham\grahade01,PG,25,55,44,1659,7.4,19.7,5.3,14,2.1,5.7,3.9,4.7,0.6,3.7,8.7,1.4,0.2,2.5,2.3,24,,115,116,1
Dewayne Dedmon\dedmode01,C,31,16,0,210,10.9,15.4,0.2,1.2,10.6,14.2,4.7,6.4,6.6,13.7,2.8,2.1,1.4,3.1,8.5,26.7,,135,105,0
Didi Louzada\louzama01,SF,21,3,0,56,2.6,11.1,1.7,6.9,0.9,4.3,0,0,0.9,1.7,2.6,1.7,0,2.6,4.3,6.9,,66,117,0
Dillon Brooks\brookdi01,SF,25,67,67,1997,10.3,24.7,3.1,8.9,7.3,15.8,3.8,4.7,1.3,3.4,3.8,1.9,0.6,2.8,5.7,27.6,,102,113,1
Domantas Sabonis\sabondo01,PF,24,62,62,2231,10.3,19.2,1.1,3.4,9.2,15.7,5.1,6.9,3.2,12.5,8.8,1.6,0.7,4.5,4.3,26.7,,115,110,1
Donovan Mitchell\mitchdo01,PG,24,53,53,1771,13.1,30,4.9,12.7,8.3,17.3,7.3,8.7,1.4,5.1,7.6,1.4,0.4,4,3.2,38.5,,115,110,1
Donta Hall\halldo01,PF,23,13,0,179,6.8,9.5,0,0,6.8,9.5,6.3,9.2,6.5,10.3,3,1.4,2.7,2.2,4.9,19.8,,142,110,0
Donte DiVincenzo\divindo01,SG,24,66,66,1814,6.5,15.6,3.4,9,3.2,6.7,1.3,1.8,2.1,7.7,5.3,1.9,0.4,2.4,2.9,17.8,,112,112,1
Dorian Finney-Smith\finnedo01,PF,27,60,60,1921,5.6,12,3.1,7.8,2.6,4.2,0.8,1.1,2.5,5.9,2.6,1.3,0.6,1.2,3.5,15.1,,124,114,0
Doug McDermott\mcderdo01,PF,29,66,29,1619,10.3,19.4,3.2,8.3,7.1,11.1,2.3,2.9,1.8,4.7,2.5,0.6,0.2,1.5,3.4,26.2,,121,118,0
Draymond Green\greendr01,PF,30,63,63,1982,4,9,0.8,3,3.2,6,1.7,2.1,1.3,9.3,13.2,2.5,1.2,4.5,4.6,10.5,,110,106,1
Drew Eubanks\eubandr01,C,23,54,3,755,7.5,13.2,0.1,0.1,7.3,13,4.9,6.8,4.8,10.7,2.7,1.2,3.1,2.9,5.7,20,,118,109,0
Duncan Robinson\robindu01,SF,26,72,72,2262,6.9,15.7,5.5,13.5,1.4,2.3,1.4,1.6,0.2,5.3,2.8,0.9,0.4,1.8,4,20.7,,113,114,1
Dwayne Bacon\bacondw01,SG,25,72,50,1853,7.7,19.1,1.5,5.4,6.1,13.6,3.8,4.6,0.8,5.1,2.4,1.2,0.1,1.2,2.7,20.7,,102,117,0
Dwight Howard\howardw01,C,35,69,6,1196,7.2,12.2,0.2,0.8,7,11.4,4.9,8.5,7.7,15.7,2.5,1.2,2.5,4.5,8.1,19.4,,113,102,0
Dwight Powell\poweldw01,C,29,58,19,966,6.1,9.9,0.3,1.1,5.9,8.8,5,6.3,4.1,7.9,3.2,1.8,1.5,2,6.9,17.5,,136,110,0
Dylan Windler\windldy01,SF,24,31,0,513,5.5,12.5,2.5,7.4,3,5.1,2,2.6,1.9,8.4,3.2,1.8,1.2,3.1,3.6,15.5,,103,113,0
E'Twaun Moore\mooreet01,SG,31,27,1,389,7,15.4,1.4,4.4,5.6,10.9,1.5,1.8,1.8,3.9,5.1,1.9,0.6,2.9,4.1,16.9,,103,112,0
Ed Davis\davised01,C,31,23,7,299,3,7,0,0,3,7,1.6,1.9,7.3,10.9,3.3,2.1,2.1,1.1,8.8,7.6,,130,110,0
Edmond Sumner\sumneed01,SG,25,53,24,861,8.1,15.5,1.9,4.8,6.2,10.7,3.7,4.6,1,4.2,2.7,1.8,0.5,2.8,4.8,21.9,,112,115,0
Elfrid Payton\paytoel01,PG,26,63,63,1484,9.1,21,0.9,3.3,8.1,17.7,2.5,3.6,2.2,5.1,6.8,1.6,0.3,3.5,3.9,21.5,,99,110,0
Elijah Bryant\bryanel01,SG,25,1,0,32,8.8,19.1,1.5,7.3,7.3,11.7,4.4,4.4,2.9,5.9,4.4,0,1.5,5.9,5.9,23.5,,100,115,0
Elijah Hughes\hugheel01,SF,22,18,0,64,7.6,22.8,6.1,17.5,1.5,5.3,2.3,3,0.8,6.1,4.6,0.8,0.8,4.6,0.8,23.6,,93,111,0
Enes Kanter\kanteen01,C,28,72,35,1758,9.4,15.6,0,0.1,9.4,15.5,3.5,4.6,7.9,14.2,2.3,0.9,1.3,2.2,4.7,22.4,,133,113,0
Eric Bledsoe\bledser01,SG,31,71,70,2111,7,16.6,2.7,8.1,4.2,8.5,3,4.4,0.7,4.9,6.1,1.2,0.5,2.6,2.5,19.7,,108,116,1
Eric Gordon\gordoer01,SG,32,27,13,789,9.5,22,4.1,12.6,5.4,9.4,5.6,6.8,0.5,3,4.3,0.8,0.8,3.1,2.6,28.9,,108,119,0
Eric Paschall\pascher01,PF,24,40,2,695,10,20.1,1.2,3.6,8.8,16.5,4.5,6.4,1.9,6.8,3.4,0.8,0.5,2.9,4.6,25.7,,106,113,0
Ersan İlyasova\ilyaser01,PF,33,17,1,148,6.9,17.8,5.9,13.5,1,4.3,1.6,1.6,2.3,7.2,1.3,3.3,1,2.6,9.5,21.4,,109,104,0
Evan Fournier\fournev01,SF-SG,28,42,36,1259,9.6,20.9,4.5,11,5,10,4.2,5.3,0.4,4.6,5.6,1.8,0.7,2.8,3.7,27.8,,115,115,1
Facundo Campazzo\campafa01,PG,29,65,19,1425,4.2,10.9,2.6,7.5,1.5,3.4,2.8,3.2,0.8,3.9,8,2.7,0.5,2.5,4.6,13.7,,117,112,0
Frank Jackson\jacksfr01,PG,22,40,6,738,8.9,19.5,4.1,10,4.9,9.5,4.1,5,1,4.7,2.4,1,0.1,2.3,3.5,25.9,,112,116,0
Frank Kaminsky\kaminfr01,C,27,47,13,715,8.4,17.7,2.1,5.9,6.2,11.9,2.6,4.1,2.5,10.5,5.5,1,1.2,1.5,4.8,21.4,,117,110,0
Frank Mason III\masonfr01,PG,26,4,1,79,5.5,14.8,1.2,3.1,4.3,11.7,3.1,4.3,1.8,5.5,7.4,0,0,3.1,4.3,15.4,,98,120,0
Frank Ntilikina\ntilila01,PG,22,33,4,322,4.5,12.3,3.6,7.5,0.9,4.8,1.2,2.8,0.9,3.9,3,2.8,0.6,1.7,7,13.8,,102,108,0
Fred VanVleet\vanvlfr01,SG,26,52,52,1899,8.6,22.2,4.4,12.1,4.2,10,4.3,4.9,0.8,4.8,8.4,2.2,0.9,2.4,3,26,,113,113,1
Freddie Gillespie\gillefr01,PF,23,20,2,392,5.4,10.4,0,0,5.4,10.4,2.8,4.1,5.2,6.8,1.1,1.6,2.5,1.5,5.3,13.7,,120,111,0
Furkan Korkmaz\korkmfu01,SG,23,55,11,1062,7.7,19.3,4.6,12.2,3.1,7,2.7,3.7,0.8,4.4,3.7,2.2,0.4,2.1,2.9,22.8,,108,109,0
Gabe Vincent\vincega01,PG,24,50,7,655,6.7,17.7,3.5,11.3,3.2,6.4,1.5,1.7,0.8,3.5,5.1,1.6,0.2,2.6,6,18.4,,98,114,0
Gabriel Deck\deckga01,PF,25,10,0,212,7.2,15,0.4,3.4,6.7,11.7,4,4.9,3.6,5.4,5.4,1.8,0,1.3,2,18.8,,121,115,0
Garrett Temple\templga01,SG,34,56,25,1528,5,12.1,2.1,6.3,2.9,5.7,1.3,1.6,0.9,4.2,3.9,1.4,1,1.8,4,13.4,,105,113,0
Garrison Mathews\mathega01,SG,24,64,24,1038,4.3,10.5,3.4,8.8,0.9,1.7,3.7,4.2,0.7,3.2,1.2,1.3,0.3,0.4,4.7,15.7,,130,116,0
Gary Clark\clarkga01,SF-PF,26,39,11,654,3,9.8,2.3,8,0.7,1.8,0.6,0.7,2.5,6.1,2.3,1,0.5,1.3,2.6,8.9,,97,117,0
Gary Harris\harriga01,SG,26,39,38,1080,6.3,15.7,2.2,6.4,4.1,9.3,2.9,3.5,1,2.6,3.5,1.3,0.5,1.7,3.2,17.6,,105,117,0
Gary Payton II\paytoga02,PG,28,10,0,40,11.7,15.3,2.3,4.7,9.4,10.6,3.5,4.7,2.3,10.6,1.2,7,1.2,1.2,9.4,29.4,,152,95,0
Gary Trent Jr.\trentga02,SG,22,58,38,1802,8.6,21.2,4.5,11.6,4.2,9.6,2.2,2.9,0.7,3.4,2.2,1.5,0.3,1.2,2.5,24,,108,118,1
George Hill\hillge01,PG,34,30,17,672,6.8,14,2.2,5.7,4.6,8.3,2.8,3.6,1.1,3.2,5.2,1.6,0.4,2.2,2.2,18.6,,117,114,0
Georges Niang\niangge01,PF,27,72,10,1154,7.5,17.1,5.2,12.3,2.2,4.8,0.9,1,1.2,6.2,2.5,1.1,0.3,2.2,4.9,21.1,,114,111,0
Giannis Antetokounmpo\antetgi01,PF,26,61,61,2013,14.6,25.7,1.6,5.2,13,20.5,9.3,13.6,2.3,13.4,8.3,1.7,1.7,4.8,3.9,40.1,,122,107,1
Glenn Robinson III\robingl02,SF,27,23,2,369,5.5,12.9,2.1,5.7,3.4,7.2,2.7,3,1.4,4.4,2.6,0.5,0.4,1.4,3,15.7,,112,122,0
Goga Bitadze\bitadgo01,C,21,45,3,561,7,16.3,1.7,6.7,5.3,9.7,3.8,5.1,5.1,7.6,3.1,0.8,5.1,1.4,7.9,19.5,,116,109,0
Goran Dragić\dragigo01,PG,34,50,11,1337,8.9,20.6,3.4,9.1,5.5,11.6,3.8,4.5,0.9,5.4,8.1,1.2,0.3,4.4,4.2,25,,104,114,1
Gordon Hayward\haywago01,SF,30,44,44,1496,10.2,21.5,2.8,6.7,7.4,14.8,5.1,6,1.2,7.2,5.9,1.7,0.5,3,2.4,28.2,,114,113,1
Gorgui Dieng\dienggo01,C,31,38,1,552,7.4,14.2,2.6,6.1,4.8,8.1,5,5.8,3.5,8.7,4.2,2.3,1.4,2.8,4.9,22.5,,127,109,0
Grant Riller\rillegr01,PG,23,7,0,27,14.5,21.7,3.6,7.2,10.9,14.5,0,0,0,1.8,5.4,1.8,0,1.8,0,32.6,,134,117,0
Grant Williams\willigr01,PF,22,63,9,1138,4.6,10.6,2.1,5.5,2.6,5.1,1.3,2.2,2.1,5.6,2.7,1.4,1,2.4,6.9,12.6,,105,114,0
Grayson Allen\allengr01,SG,25,50,38,1259,6.6,15.7,4.1,10.4,2.5,5.3,3,3.5,0.7,5.4,4.1,1.7,0.3,1.8,2.7,20.2,,116,113,0
Greg Whittington\whittgr01,PF,27,4,0,12,0,12.4,0,8.2,0,4.1,0,0,0,0,0,0,0,0,0,0,,0,121,0
Hamidou Diallo\diallha01,SG-SF,22,52,9,1226,8.8,18.4,1.1,3.2,7.7,15.2,5,7.8,2.3,8.4,4,1.6,0.9,3,5.3,23.7,,106,112,0
Harrison Barnes\barneha02,PF,28,58,58,2102,7.3,14.7,2.3,5.8,5,8.8,4.5,5.4,1.5,7.3,4.6,1,0.3,2.1,1.7,21.3,,123,119,1
Harry Giles\gilesha01,C,22,38,0,348,5.9,13.6,1.1,3.2,4.8,10.4,2.2,3.8,4.3,14.3,4.1,1.1,1.8,2.8,7.6,15.1,,106,111,0
Hassan Whiteside\whiteha01,C,31,36,4,546,11.1,19.7,0,0.1,11.1,19.6,3.6,6.9,5.4,13.5,1.8,0.8,4,3.5,6.4,25.8,,107,111,0
Henry Ellenson\ellenhe01,PF,24,2,0,38,6.4,17.8,2.5,11.5,3.8,6.4,3.8,5.1,3.8,11.5,6.4,0,0,0,8.9,19.1,,121,115,0
Ignas Brazdeikis\brazdig01,SF,22,13,0,249,6.8,16.2,2.2,5.5,4.7,10.8,2,2.7,2.2,6.6,3.3,0.8,0.6,2.3,4.3,17.8,,101,116,0
Iman Shumpert\shumpim01,SG,30,2,0,11,4.4,17.5,0,13.2,4.4,4.4,0,0,4.4,0,0,4.4,0,4.4,0,8.8,,56,113,0
Immanuel Quickley\quickim01,PG,21,64,3,1243,9.2,23.3,4.7,12.2,4.5,11.1,6.2,7,1,4.5,5.1,1.2,0.5,2.3,4.6,29.4,,113,111,0
Isaac Bonga\bongais01,SF,21,40,8,432,3.2,8.6,1.4,5,1.8,3.6,0.5,0.9,1.9,5.1,2.5,1.2,1,2.3,6.7,8.3,,90,114,0
Isaac Okoro\okorois01,SG,20,67,67,2173,5.3,12.7,1.4,4.9,3.9,7.8,2.6,3.6,1.5,3.1,2.9,1.4,0.5,2,4.2,14.7,,103,117,0
Isaiah Hartenstein\harteis01,C,22,46,2,559,8.3,15.1,0.2,0.5,8.1,14.6,4.1,6.3,5.7,10.2,4.9,1.7,3.4,3.9,9.2,20.8,,114,108,0
Isaiah Joe\joeis01,SG,21,41,1,383,6,16.7,4.9,13.3,1.1,3.4,2.3,3,0.8,3.8,2.5,1.5,0.5,1.4,4.3,19.3,,108,111,0
Isaiah Roby\robyis01,PF,22,61,34,1425,6.9,14.3,1.1,3.6,5.8,10.7,2.9,3.9,3,8.4,3.6,1.7,1.2,3.8,5.4,17.8,,102,112,0
Isaiah Stewart\stewais01,C,19,68,14,1455,7.6,13.8,0.7,2.1,6.9,11.7,2.2,3.1,5.4,9.9,2,1.3,2.9,2.3,6.2,18.1,,118,109,0
Isaiah Thomas\thomais02,PG,31,3,0,48,9,27,3,12,6,15,2,2,1,3,5,1,0,6,3,23,,79,118,0
Ish Smith\smithis01,PG,32,44,1,924,6.4,14.8,0.9,2.4,5.5,12.4,0.9,1.6,1.1,6.4,8.6,1.6,0.6,2,3.1,14.7,,106,113,0
Ivica Zubac\zubaciv01,C,23,72,33,1609,7.9,12.1,0,0.1,7.9,12,4.2,5.3,5.8,10.2,2.8,0.7,1.9,2.5,5.8,20,,135,110,0
J.J. Redick\redicjj01,SG,36,44,0,723,7.1,17.8,4.4,11.9,2.7,5.9,3.3,3.5,0.3,4,3.4,0.7,0.2,2.4,3.3,21.8,,109,118,1
Ja Morant\moranja01,PG,21,63,63,2053,10,22.3,1.7,5.6,8.3,16.7,6.3,8.7,1.4,4.5,10.8,1.3,0.3,4.7,2,28,,108,115,1
Jabari Parker\parkeja01,PF,25,13,0,165,8.9,16.2,0.6,3.2,8.3,13,3,3.8,3,9.4,3.2,0.3,1.5,3,3.8,21.3,,113,114,0
Jaden McDaniels\mcdanja02,PF,20,63,27,1511,5.1,11.5,2.3,6.2,2.9,5.3,0.8,1.4,1.6,5.6,2.2,1.1,1.9,1.5,5.4,13.3,,108,116,0
Jae Crowder\crowdja01,PF,30,60,42,1648,6,14.7,4.4,11.4,1.5,3.4,1.7,2.2,1,7.5,3.8,1.4,0.8,1.6,3.7,18.1,,113,111,1
Jae'Sean Tate\tateja01,SF,25,70,58,2043,7.3,14.5,1.4,4.5,5.9,10,2.4,3.4,3.1,5.6,4.1,2,0.8,2.3,5.1,18.4,,114,115,0
Jahlil Okafor\okafoja01,C,25,27,2,347,8.9,14.4,0.3,1.3,8.6,13.1,2.4,3.4,3.3,6.1,1.8,0.8,0.7,3,5.5,20.5,,114,115,0
Jahmi'us Ramsey\ramseja01,SG,19,13,0,94,7.7,19.4,2.6,9.7,5.1,9.7,2.6,2.6,1,4.1,3.1,2,0.5,1.5,4.1,20.4,,102,118,0
JaKarr Sampson\sampsja02,PF,27,29,4,316,8.4,16.9,0.4,2.2,7.9,14.7,2.8,4.3,4,7.5,0.6,0.3,2.1,2.2,7.8,20,,104,114,0
Jake Layman\laymaja01,SF,26,45,11,627,6.9,13.9,1.7,5.9,5.1,8,2,2.8,1,4.1,2.1,2.2,1.4,2,3.3,17.4,,107,115,0
Jakob Poeltl\poeltja01,C,25,69,51,1845,7,11.3,0,0,7,11.3,1.7,3.3,5.8,8.6,3.5,1.2,3.2,2.2,4.5,15.6,,123,109,0
Jalen Brunson\brunsja01,PG,24,68,12,1697,9.5,18.2,2.4,5.8,7.2,12.4,3.5,4.4,0.8,5.9,6.9,1,0,2.3,3.2,24.9,,123,116,0
Jalen Harris\harrija01,SG,22,13,2,172,10.1,20.3,4.8,10.1,5.3,10.1,2,2.5,0.8,4.2,4.8,2.3,0,3.9,4.2,27,,110,114,0
Jalen Lecque\lecquja01,PG,20,4,0,12,3.9,35.5,0,3.9,3.9,31.5,11.8,11.8,7.9,11.8,7.9,0,0,0,0,19.7,,77,115,0
Jalen McDaniels\mcdanja01,SF,23,47,18,904,7.2,15.3,1.9,5.7,5.3,9.7,2.4,3.5,2.4,6.7,2.9,1.5,1,2.4,5.1,18.7,,107,113,0
Jalen Smith\smithja04,PF,20,27,1,156,7,15.8,1.3,5.4,5.7,10.4,1.6,2.2,2.2,9.5,1.3,0.3,1.6,2.2,5.1,16.8,,96,112,0
Jamal Murray\murraja01,PG,23,48,48,1704,11,23,3.7,9.2,7.2,13.8,3.9,4.4,1.1,4.6,6.7,1.9,0.4,3.1,2.8,29.5,,116,114,1
James Ennis\ennisja01,SF,30,41,37,986,5.7,12,2.2,5.1,3.5,6.9,3.5,4.3,2.1,6.1,3.1,1.6,0.3,1.8,4.1,17,,120,115,0
James Harden\hardeja01,PG-SG,31,44,43,1609,10.2,21.9,3.6,10,6.6,12,8.3,9.6,1,9.4,14.2,1.6,1,5.3,3,32.4,,122,112,1
James Johnson\johnsja01,PF,33,51,12,1043,6.8,15.2,1.4,5.6,5.4,9.6,2.1,3.5,1.5,6.8,4.6,2,2,2.6,5.6,17.1,,103,111,0
James Nunnally\nunnaja01,SF,30,9,0,48,5,13,4,12,1,1,1,2,2,7,3,0,0,2,1,15,,108,119,0
James Wiseman\wisemja01,C,19,39,27,836,10.7,20.7,0.7,2.1,10.1,18.5,3,4.8,3.1,9.6,1.5,0.6,2,3.4,6.8,25.2,,100,109,0
JaMychal Green\greenja01,PF,30,58,5,1120,7.6,16.5,3.5,8.7,4.1,7.8,2,2.5,3.8,8.5,2.3,1.1,1,2.3,6.4,20.8,,116,112,0
Jared Dudley\dudleja01,PF,35,12,0,81,1.2,5.4,1.2,3.6,0,1.8,0,0,2.4,10.2,3,0.6,0.6,1.2,4.2,3.6,,94,108,0
Jared Harper\harpeja01,PG,23,8,0,16,0,12.5,0,3.1,0,9.4,9.4,12.5,0,6.3,3.1,0,0,9.4,3.1,9.4,,43,114,0
Jaren Jackson Jr.\jacksja02,C,21,11,4,258,9.8,23.2,3.2,11.1,6.7,12,6.5,7.8,3.2,8.3,2.2,2.2,3.3,2.8,7.8,29.3,,109,106,1
Jarred Vanderbilt\vandeja01,PF,21,64,30,1139,5.9,9.8,0,0.2,5.9,9.6,2.4,4.2,4.9,10.4,3.2,2.7,1.9,2.2,5.1,14.3,,122,110,0
Jarrell Brantley\brantja01,PF,24,28,0,138,8.8,18.4,4.2,9.9,4.6,8.5,0.7,0.7,3.2,6.4,5.3,2.5,0.7,2.8,6,22.6,,120,107,0
Jarrett Allen\allenja01,C,22,63,45,1864,7.9,12.7,0.2,0.5,7.7,12.2,5.4,7.6,5.2,11.5,2.8,0.8,2.4,2.6,2.5,21.2,,127,112,1
Jarrett Culver\culveja01,SG,21,34,7,499,6.5,15.9,1.2,5,5.3,10.9,2.7,4.5,3.2,6.6,2.3,1.6,0.9,2.7,5.5,17,,96,115,0
JaVale McGee\mcgeeja01,C,33,46,2,678,10.5,20.5,0.4,1.7,10.1,18.8,3.2,4.9,5.6,11.8,2.8,1.4,3.9,4.4,8.8,24.5,,102,107,0
Javonte Green\greenja02,SG-PG,27,41,2,473,5.5,10.5,1,3.1,4.4,7.4,3.1,4.1,2.7,4.6,1.8,2.9,0.6,2,4.6,15,,118,111,0
Jaxson Hayes\hayesja02,C,20,60,3,964,8.7,13.9,0.3,0.7,8.4,13.2,4.6,6,4.6,8.2,1.7,1.2,1.9,1.9,5,22.3,,132,112,0
Jay Scrubb\scrubja01,SG,20,4,1,84,8.3,21.2,1.2,5.3,7.1,15.9,2.9,2.9,1.2,7.1,0.6,2.4,0,4.1,2.9,20.6,,82,111,0
Jaylen Adams\adamsja01,PG,24,7,0,18,2.6,20.9,0,5.2,2.6,15.7,0,0,0,7.8,5.2,0,0,0,2.6,5.2,,45,116,0
Jaylen Brown\brownja02,SG,24,58,58,1999,13.1,27.2,4,10,9.2,17.1,4.7,6.1,1.7,6.7,4.8,1.8,0.8,3.9,4.1,34.9,,112,113,1
Jaylen Hoard\hoardja01,SF,21,19,0,320,6.5,13.1,0,1.6,6.5,11.4,4.2,6.1,3.1,6.5,3.6,1.9,0.7,2.5,2.8,17.2,,109,113,0
Jaylen Nowell\nowelja01,SG,21,42,0,759,8.8,20.8,3.1,9.3,5.7,11.5,2.8,3.4,1.2,4.7,3.9,1.4,0.7,1.7,4.5,23.6,,107,117,0
Jayson Tatum\tatumja01,SF,22,64,64,2290,12.9,28.1,4,10.3,8.9,17.8,6.3,7.3,1.1,9,5.9,1.6,0.7,3.6,2.6,36.1,,114,112,1
Jeff Green\greenje02,C,34,68,38,1835,6.9,13.9,2.7,6.6,4.2,7.4,3.3,4.2,0.9,6,2.8,0.9,0.7,1.4,3.2,19.7,,122,116,0
Jeff Teague\teaguje01,PG,32,55,7,950,6.2,14.4,1.8,4.2,4.4,10.2,4.5,5.3,0.8,3.7,6.7,1.7,0.6,3.2,2.8,18.8,,111,114,0
Jerami Grant\grantje01,SF,26,54,54,1829,10.7,25,3.1,8.8,7.6,16.2,7.8,9.2,0.9,5.8,4.1,0.9,1.6,2.9,3.4,32.3,,109,114,1
Jeremiah Martin\martije02,PG,24,9,0,75,5.9,21.7,2,7.9,3.9,13.8,0.7,3.3,1.3,3.3,2.6,3.3,1.3,3.9,0.7,14.5,,63,112,0
Jeremy Lamb\lambje01,SG,28,36,8,765,7.4,17.1,3.2,7.9,4.2,9.1,4.4,4.6,1.5,6.5,3.3,2.1,1.4,1.4,4.4,22.4,,119,111,0
Jerome Robinson\robinje01,SG,23,17,6,305,4.2,14.4,1.7,6.3,2.6,8,2.4,3,0.6,5.1,3.8,1.8,0.9,2.9,4.7,12.5,,81,113,0
Jevon Carter\carteje01,PG,25,60,1,717,6.5,15.4,3.9,10.4,2.6,5,0.3,0.5,1.1,5.2,4.9,2,0.6,1.1,3.9,17.1,,115,111,0
Jimmy Butler\butleji01,SF,31,52,52,1745,10.4,21,0.7,2.9,9.7,18,10.2,11.8,2.7,7.5,10.5,3.1,0.5,3.1,2,31.8,,127,108,1
Joe Harris\harrijo01,SF,29,69,65,2141,8,15.9,4.8,10,3.3,5.9,1.1,1.4,1,4.6,2.9,1,0.3,1.4,3.2,21.9,,126,117,1
Joe Ingles\inglejo01,SF,33,67,30,1867,7.2,14.7,4.8,10.6,2.4,4.1,2,2.3,0.7,5.7,8.3,1.2,0.3,3.1,3.1,21.1,,129,111,1
Joel Embiid\embiijo01,C,26,51,51,1585,14,27.4,1.8,4.7,12.3,22.7,14.3,16.7,3.4,13,4.4,1.5,2.1,4.8,3.7,44.1,,121,104,1
John Collins\collijo01,PF,23,63,63,1848,11.4,20.5,2.2,5.5,9.2,15,4.5,5.4,3.1,9.3,2.1,0.9,1.7,2.2,5.1,29.6,,125,112,1
John Konchar\konchjo01,SG,24,43,0,575,5.7,11.5,1.7,4.7,4,6.8,2.1,2.5,2.9,7.7,3.9,2.5,0.7,1.5,3.3,15.3,,125,109,0
John Wall\walljo01,PG,30,40,40,1288,10.8,26.7,2.9,9.1,7.9,17.5,5.8,7.8,0.6,4.1,10.1,1.5,1.1,5.2,1.7,30.2,,99,116,1
Jonas Valančiūnas\valanjo01,C,28,62,61,1755,12,20.2,0.6,1.6,11.4,18.7,4.3,5.5,6.9,14.2,3.1,1,1.6,2.7,4.9,28.8,,126,108,1
Jontay Porter\portejo01,PF,21,11,0,54,7.1,13.3,2.7,7.1,4.4,6.2,2.7,4.4,3.5,8.9,0.9,2.7,0.9,6.2,10.6,19.5,,93,108,0
Jordan Bell\belljo01,C,26,6,1,82,3.9,12.4,0,1.1,3.9,11.3,0.6,1.1,3.9,9.6,3.9,1.7,2.8,2.3,3.9,8.5,,83,108,0
Jordan Bone\bonejo01,PG,23,14,0,196,5.7,13.4,2.5,7.9,3.2,5.5,0,0,1,5,4.5,0.5,0,0.7,2.7,13.9,,113,119,0
Jordan Clarkson\clarkjo01,SG,28,68,1,1818,12.2,28.8,5.6,16,6.7,12.8,3.5,3.9,1.3,6.1,4.5,1.6,0.3,3.1,2.9,33.5,,109,110,1
Jordan McLaughlin\mclaujo01,PG,24,51,2,938,5,12.2,1.7,4.6,3.4,7.6,1.2,1.5,1.1,4.4,9.7,2.6,0.3,2.6,2.2,12.9,,110,115,0
Jordan Nwora\nworajo01,SF,22,30,2,274,10.6,23.1,4.8,10.6,5.8,12.5,3.3,4.3,1.5,8.7,1.2,2.7,1.2,4.1,3.8,29.3,,102,108,0
Jordan Poole\poolejo01,SG,21,51,7,988,9.7,22.5,4.6,13.1,5.1,9.4,5,5.7,0.7,3.7,4.7,1.2,0.4,2.4,4.1,29.1,,111,114,0
Josh Green\greenjo02,SG,20,39,5,445,4.7,10.3,0.4,2.8,4.2,7.5,1.4,2.5,3.1,5.5,3.1,1.8,0.3,1.9,3.9,11.2,,106,114,0
Josh Hall\halljo01,SF,20,21,1,336,4.2,14,0.6,5.2,3.7,8.8,3.1,6.2,0.8,7.5,4,0.6,0.1,3.5,5.2,12.2,,73,117,0
Josh Hart\hartjo01,SF,25,47,4,1349,5.4,12.2,2.2,6.9,3.1,5.4,2.5,3.2,1.9,11.5,3.9,1.4,0.4,1.7,3.9,15.4,,117,113,0
